row,meeting,date,order_in_day,symposium,title,alternative_title,lecture_additional_info,file,extent,speaker_lcsh,speaker_display_name,speaker_position,speaker_institution,speaker_position_2,speaker_institution_2,speaker_2_lcsh,speaker_2_display_name,speaker_2_position,speaker_2_institution,speaker_2_position_2,speaker_2_institution_2,presented_by,abstract,diglib_description,admin_category,aps_departments,academic_disciplines,lcsh_topic,lcsh_geographic,lcsh_temporal,lcsh_name_personal,lcsh_name_corporate,doi,diglib_url,pid,node,diglib_url_old,service_file,youtube_url,proceedings_title,proceedings_url,display_notes,admin_notes,add_speakers,check_physical_program,check_video
572,November 2020,2020-11-11,1,,A Failure to Heal: Race and Politics in the United States,,,2020November_01LawrenceDBobo.mp4,1:10:13,"Bobo, Lawrence",Lawrence D. Bobo,Dean of Social Sciences,Harvard University ,W.E.B Du Bois Professor of the Social Sciences,,,,,,,,,Lawrence D. Bobo speaks about the historical and ongoing connections between race and the political system of the United States,,LECTURE,,Political Science|History, Race--Political aspects--United States,,,,,,,,553040,,,https://www.youtube.com/watch?v=49ip-Xa0U58,,,,,,,
573,November 2020,2020-11-12,1,,In Conversation: Anthony Fauci and Mark Thompson,,Keynote Lecture ,2020November_02AnthonySFauci-MarkJThompson.mp4,0:54:57,"Fauci, Anthony S., 1940-",,Director,National Institute of Allergy and Infectious Diseases,,,"Thompson, Mark John, 1957-",Mark J. Thompson,Former Director-General,The British Broadcasting Corporation,Former President and Chief Executive Officer,The New York Times Company,,"Anthony Fauci joins Mark Thompson in conversation about COVID-19, the state of vaccine development, and media's role in science communication. ",,CONVERSATION,,"Public Affairs, Public Policy and Public Administration",Communication in public health,,,,,,,,553041,,,https://www.youtube.com/watch?v=Czw-pdw6ixM,,,,,,,
574,November 2020,2020-11-12,2,,"Entangled Lives: Fungi, Ecology, and Us",,,2020November_03MerlinSheldrake.mp4,0:33:59,"Sheldrake, Merlin",,Independent Scholar,,,,,,,,,,,"Biologist Merlin Sheldrake presents the research from his book Entangled Life: How Fungi Make Our Worlds, Change Our Minds, & Shape Our Futures.",,LECTURE,,Biology,Mycology,,,,,,,,553042,,,https://www.youtube.com/watch?v=5C3T2aMOy4s,,,,,,,
575,November 2020,2020-11-12,3,,Erasing the Past: The Deliberate Destruction of Knowledge from Ancient Assyria to the Digital Age,,,2020November_04RichardOvenden.mp4,0:35:56,"Ovenden, Richard",Richard Ovenden,Bodley's Librarian,University of Oxford,,,,,,,,,,"Richard Ovenden presents on the destruction and manipulation of knowledge throughout history, which he then connects to present issues of the preservation of digital knowledge in the 21st century. ",,LECTURE,,History,Cultural property--Destruction and pillage|Libraries--Destruction and pillage,,,,,,,,553043,,,https://www.youtube.com/watch?v=21_VRXKXecE,,,,,,,
576,November 2020,2020-11-12,4,,Society After Pandemic,,,2020November_05AlondraNelson.mp4,0:31:08,"Nelson, Alondra",Alondra Nelson,President,Social Science Research Council,Harold F. Linder Professor,Institute of Advanced Study,,,,,,,,"In her talk, Alondra Nelson speaks on how the pandemic is refocusing aspects of society and how to move forward. This talk focuses on the idea of expertise and of the essential worker ",,LECTURE,,Sociology,COVID-19 (Disease)--Social aspects--United States,,,,,,,,553044,,,https://youtu.be/yIvNRJn6kZw,,,,,,,
577,November 2020,2020-11-12,5,,Revitalizing Civic Education: One Discussion at a Time ,,,2020November_06DavidMoss.mp4,0:33:41,"Moss, David A., 1964-",David Moss ,Paul Whiton Cherington Professor,Harvard Business School,,,,,,,,,,David Moss talks about his work in understanding the ebbs and flows of democracy and the course he developed aim at civic education through discussion ,,LECTURE,,History |Education ,Democracy and education--United States,,,,,,,,553045,,,https://youtu.be/zEIDMn6WJJ4,,,,,,,
578,November 2020,2020-11-12,6,,Concert from Benjamin Franklin Hall,,,2020November_07Concert-JeremyDenk.mp4,1:42:16,"Denk, Jeremy",Jeremy Denk,Pianist,,,,,,,,,,,Jeremy Denk performs works by Clara Schumann and Missy Mazzoli at the November 2020 APS General Meeting. ,,CONCERT,,,,,,,,,,,553046,,,https://youtu.be/sB41xNDnTJs,,,,,,,
579,November 2020,2020-11-13,1,,Presentation of Society Awards and Prizes,,,2020November_08Awards.mp4,0:20:13,,,,,,,,,,,,,,,,AWARDS,,,Awards--Societies,,,,,,,,553047,,,https://youtu.be/G8ydWGYcoN8,,,,,,,
580,November 2020,2020-11-13,2,,In Conversation: Danielle Allen and David Rubenstein,,,2020November_09DavidMRubenstein-DanielleAllen.mp4,0:24:27,"Allen, Danielle",Danielle Allen,James Bryant Conant University Professor,Harvard University,Director,Edmond J. Safra Center for Ethics,"Rubenstein, David M.",David M. Rubenstein,Co-Founder and Co-Executive Chair,The Carlyle Group,Chair,The Kennedy Center for Performing Arts,,"In this conversation, David M. Rubenstein talks to Danielle Allen about her life and work, her thoughts on the election and its impact of democaracy, Americna politics and the COVID-19 Pandemic",,CONVERSATION,,Sociology,COVID-19 (Disease)|Civics,,,,,,,,553048,,,https://youtu.be/dKZhqh157d00,,,,,,,
581,November 2020,2020-11-13,2,,In Conversation: Danielle Allen and David Rubenstein,,,2020November_09DavidMRubenstein-DanielleAllen.mp4,0:24:27,"Allen, Danielle",Danielle Allen,James Bryant Conant University Professor,Harvard University,Director,Edmond J. Safra Center for Ethics,"Rubenstein, David M.",David M. Rubenstein,Chair,The Smithsonian Institution,,,,"In this conversation, David M. Rubenstein talks to Danielle Allen about her life and work, her thoughts on the election and its impact of democaracy, Americna politics and the COVID-19 Pandemic",,CONVERSATION,,Sociology,COVID-19 (Disease)|Civics,,,,,,,,553048,,,https://youtu.be/dKZhqh157d00,,,,,,,
582,November 2020,2020-11-13,3,,Keep It Moving: Staying the Course,,,2020November_10TwylaTharp.mp4,0:30:59,"Tharp, Twyla",Twyla Tharp,,Twyla Tharp Dance Foundation,,,,,,,,,,"Twyla Tharp gives a talk based on her memoir Keep It Moving, with a focus on the power of movement in one's life.",,LECTURE,,Theater and Performance,Choreographers--United States--Biography,,,,,,,,553049,,,https://youtu.be/dKZhqh157d00,,,,,,,
1,November 2003,2003-11-14,1,,Beyond Mice and Menus,,,,,"Grosz, Barbara J.",Barbara J. Grosz,Higgins Professor of Natural Sciences,Harvard University,Dean of Science,Radcliffe Institute for Advanced Study,,,,,,,,"Dr. Grosz gives an engaging lecture on the history of computers and how she believes the world of computers should move forward and beyond ""mice and menus.""",,LECTURE,History of Science,History of Science,Computer systems|Computers,,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=49090,https://diglib.amphilsoc.org/islandora/object/video60obj,video:60,318712,https://diglib.amphilsoc.org/islandora/object/video:60,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318712-Service%20File.mp4,,Beyond Mice and Menus,https://www.jstor.org/stable/4598959,,,,,
2,November 2003,2003-11-14,2,,Architecture for Cyber Security,,,,,"Lee, Ruby B.",Ruby B. Lee,Forrest G. Hamrick Professor of Engineering and Professor of Electrical Engineering,Princeton University,,,,,,,,,,Dr. Lee makes the case for the importance of cybersecurity in order to secure democracy and civilized life.,,LECTURE,,Computer Science,Computer security|Cryptography|Access control,,,,,,https://diglib.amphilsoc.org/islandora/object/video70obj,video:70,318602,https://diglib.amphilsoc.org/islandora/object/video:70,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318602-Service%20File.mp4,,,,,,,,
3,November 2003,2003-11-14,3,,Policy Implications on Bounded Rationality,,,,,"Sheshinski, Eytan",Eytan Sheshinski,Sir Isaac Wolfson Professor of Public Finance,The Hebrew University of Jerusalem,,,,,,,,,,"Dr. Sheshinski analyzes self-selection models, when individuals know more about themselves than it is possible for governments to know, and shows that it may be socially optimal to limit and sometimes to eliminate individual choice.",,LECTURE,,Economics,Economics|Consumers' preferences|Retirement,,,,,,https://diglib.amphilsoc.org/islandora/object/video116obj,video:116,318854,https://diglib.amphilsoc.org/islandora/object/video:116,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318854-Service%20File.mp4,,,,,,,,
4,November 2003,2003-11-14,4,,"Accident, Luck and Serendipity in Historical Research",,,,,"McClellan, James E., III (James Edward), 1946-",James E. McClellan III,Professor of History of Science,Stevens Institute of Technology,,,,,,,,,,The influence of fortuitous elements on individual pieces of work seems almost self-evident. Dr. McClellan explores the implications of these accidental circumstances for historiography and historical research.,,LECTURE,,History,Historians|Historiography,,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=180613,https://diglib.amphilsoc.org/islandora/object/video99obj,video:99,319023,https://diglib.amphilsoc.org/islandora/object/video:99,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/319023-Service%20File.mp4,,"Accident, Luck, and Serendipity in Historical Research",https://www.jstor.org/stable/4598905,,,,,
5,November 2003,2003-11-14,5,,Ancient Mesopotamia: An Antique Land and a Ravaged Past,,,,,"Michalowski, Piotr, 1948-",Piotr Michalowski,George G. Cameron Professor of Ancient Near Eastern Civilizations,University of Michigan,,,,,,,,,,Dr. Michalowski gives a talk focusing on the plundering of the National Museum in Baghdad by US forces during the Second Gulf War.,,LECTURE,,Archaeology|History,"Iraq--History--To 634|Iraq--Civilization--To 634|Iraq War, 2003-2011|Pillage",Iraq,,,,,https://diglib.amphilsoc.org/islandora/object/video120obj,video:120,318961,https://diglib.amphilsoc.org/islandora/object/video:120,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318961-Service%20File.mp4,,,,,,,,
6,November 2003,2003-11-14,6,,Contexts of Iraqi Looting,,,,,"Adams, Robert McC. (Robert McCormick), 1926-2018",Robert McCormick Adams,"Adjunct Professor, Department of Anthropology",University of California at San Diego,,,,,,,,,,"Dr. Adams presents a historical context for the looting of museums, archives, and libraries by the US invading forces in Iraq.",,LECTURE,,Archaeology|History,"Iraq--History--To 634|Iraq--Civilization--To 634|Iraq War, 2003-2011|Pillage",Iraq,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=216698,https://diglib.amphilsoc.org/islandora/object/video130obj,video:130,318874,https://diglib.amphilsoc.org/islandora/object/video:130,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318874-Service%20File.mp4,,Contexts of Iraqi Looting,https://www.jstor.org/stable/4598908,,,,,
7,November 2003,2003-11-14,7,,Portraiture and the Development of African American Identity in the 19th Century,,,,,"Shaw, Gwendolyn DuBois",Gwendolyn DuBois Shaw,Assistant Professor of History of Art and Architecture and of African and African American Studies,Harvard University,,,,,,,,,,Dr. Shaw gives a historical overview of Moses Williams' life under enslavement with Charles Wilson Peale.,,LECTURE,,Art History,African American art|Silhouettes,,,"Williams, Moses, 1777-ca. 1825|Peale, Charles Willson, 1741-1827|Peale, Rembrandt, 1778-1860",,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=93866,https://diglib.amphilsoc.org/islandora/object/video134obj,video:134,318668,https://diglib.amphilsoc.org/islandora/object/video:134,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318668-Service%20File.mp4,,"""Moses Williams, Cutter of Profiles"": Silhouettes and African American Identity in the Early Republic",https://www.jstor.org/stable/4598906,,,,,
8,November 2003,2003-11-14,8,,Expanding the Mainstream: Romare Bearden Revisited,,,,,"Fine, Ruth, 1941-",Ruth Fine,Curator of Special Projects in Modern Art,National Gallery of Art,,,,,,,,,,"Dr. Fine gives a historical overview of Romare Bearden's life in 20th century American art, as well as the National Gallery exhibition, which she curated.",,LECTURE,,Art History,Artists--United States|African American art,,,"Bearden, Romare, 1911-1988",,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=164996,https://diglib.amphilsoc.org/islandora/object/video138obj,video:138,318777,https://diglib.amphilsoc.org/islandora/object/video:138,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318777-Service%20File.mp4,,Expanding the Mainstream: Romare Bearden Revisited,https://www.jstor.org/stable/4598907,,,,,
9,November 2003,2003-11-15,1,,Regenerative Medicine and Tissue Engineering,,Henry LaBarre Jayne Memorial Lecture,,,"Vacanti, Joseph",Joseph P. Vacanti,John Homans Professor of Surgery,Massachusetts General Hospital/Harvard Medical School,,,,,,,,,,"In the Henry LaBarre Jayne Lecture, Dr. Vacanti talks about the field of regenerative medicine and tissue replacement, specifically: the need for the field and his own involvement within it.",,LECTURE,,Medicine,Tissue culture|Regenerative medicine|Stem cells,,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=1588,https://diglib.amphilsoc.org/islandora/object/video143obj,video:143,318557,https://diglib.amphilsoc.org/islandora/object/video:143,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318557-Service%20File.mp4,,The Jayne Lecture: Tissue Engineering and Regenerative Medicine,https://www.jstor.org/stable/25478450,,,,,
10,November 2003,2003-11-15,2,,The Study of Greek Sculpture in the 21st Century,,,,,"Ridgway, Brunilde Sismondo, 1929-2024",Brunilde S. Ridgway,R. Carpenter Professor of Archaeology Emerita,Bryn Mawr College,,,,,,,,,,"Dr. Ridgway give a historical overview of the study of Greek and Roman sculpture, explaining the field's new findings and controversies.",,LECTURE,,Art History|Archaeology|Classics,"Sculpture, Greek|Historiography",,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=207385,https://diglib.amphilsoc.org/islandora/object/video147obj,video:147,318680,https://diglib.amphilsoc.org/islandora/object/video:147,https://diglib.amphilsoc.org/_flysystem/fedora/2024-01/318680-Service%20File.mp4,,The Study of Greek Sculpture in the Twenty-First Century,https://www.jstor.org/stable/4598909,,,,,
11,November 2003,2003-11-15,3,,Megalithomania: Obelisks and Empire in Papal Rome,,,,,"Collins, Jeffrey Laird",Jeffrey Collins,Associate Professor of Art History,University of Washington,,,,,,,,,,Dr. Collins speaks on the obelisks of Rome: how they were removed from elsewhere in the Roman Empire and how they represent imperial Rome.,,LECTURE,,Art History|Classics|Religion,"Obelisks|Rome--Civilization|Architecture, Roman",Rome (Italy)|Vatican City,,,,,https://diglib.amphilsoc.org/islandora/object/video151obj,video:151,318772,https://diglib.amphilsoc.org/islandora/object/video:151,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318772-Service%20File.mp4,,,,,,,,
12,November 2003,2003-11-15,4,"Virus Paleontology, Disease and Evolution",Evolution of Retroviruses: Fossils in our DNA,,,,,"Coffin, John Miller, 1944-",John M. Coffin,Professor of Molecular Biology and Microbiology,Tufts University,,,,,,,,,,"Dr. Edwin Kilbourne introduces Dr. John Coffin, who presents a talk on viruses and how they evolve very quickly.",,LECTURE,,Biology,DNA|Retroviruses,,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=53756,https://diglib.amphilsoc.org/islandora/object/video157obj,video:157,318663,https://diglib.amphilsoc.org/islandora/object/video:157,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318663-Service%20File.mp4,,Evolution of Retroviruses: Fossils in Our Dna,https://www.jstor.org/stable/1558226,,,,,
13,November 2003,2003-11-15,5,"Virus Paleontology, Disease and Evolution","Circe, Cassandra and Trojan Pigs: Xenotransplantation",,,,,"Weiss, Robin",Robin A. Weiss,Professor of Viral Oncology,University College London,,,,,,,,,,Dr. Weiss describes himself as a Cassandra figure in microbiology. He talks about his reservations about transplanting animal parts into humans.,,LECTURE,,Biology|Medicine,Xenotransplantation|Microbiology|Retroviruses,,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=46640,https://diglib.amphilsoc.org/islandora/object/video164obj,video:164,318567,https://diglib.amphilsoc.org/islandora/object/video:164,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318567-Service%20File.mp4,,"Circe, Cassandra, and the Trojan Pigs: Xenotransplantation",https://www.jstor.org/stable/1558227,,,,,
14,November 2003,2003-11-15,6,"Virus Paleontology, Disease and Evolution",Can Persisting Viruses Drive Human Evolution?,,,,,"Villarreal, Luis P.",Luis P. Villarreal,"Director, Center for Virus Research",University of California at Irvine,,,,,,,,,,Viruses have always been with us. Dr. Villarreal talks about what this persistence means for human evolution.,,LECTURE,,Biology,Viruses|Retroviruses|Viral genetics,,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=123216,https://diglib.amphilsoc.org/islandora/object/video167obj,video:167,318527,https://diglib.amphilsoc.org/islandora/object/video:167,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318527-Service%20File.mp4,,Can Viruses Make Us Human?,https://www.jstor.org/stable/1558228,,,,,
15,November 2003,2003-11-15,7,"Virus Paleontology, Disease and Evolution",When Genes Go Walkabout: Viruses in the Blueprint,,,,,"Bear, Greg, 1951-2022",Greg Bear,Writer,,,,,,,,,,,"Greg Bear offers a personal view of biology, specifically evolution and Charles Darwin.",,LECTURE,History of Science,Biology|History of Science,Evolution|Punctuated equilibrium (Evolution)|Bacteria|Bacteriophages,,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=35671,https://diglib.amphilsoc.org/islandora/object/video171obj,video:171,318764,https://diglib.amphilsoc.org/islandora/object/video:171,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318764-Service%20File.mp4,,When Genes Go Walkabout,https://www.jstor.org/stable/1558229,,,,,
16,April 2004,2004-04-22,1,"Science, Art and Knowledge: Practicing Natural History from the Enlightenment to the 21st Century",Picturing Nature in the Age of Enlightenment,,,,,"Rudwick, M. J. S.",Martin Rudwick,Senior Research Scholar,Cambridge University,,,,,,,,,,Where was natural history practiced in the 18th century? Dr. Rudwick explains how museums and the outdoors met during the Age of Enlightenment.,,LECTURE,History of Science,History of Science|Art History,Natural history--History--18th century|Enlightenment,,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=116518,https://diglib.amphilsoc.org/islandora/object/video218obj,video:218,318528,https://diglib.amphilsoc.org/islandora/object/video:218,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318528-Service%20File.mp4,,Picturing Nature in the Age of Enlightenment,https://www.jstor.org/stable/4598936,,,,,
17,April 2004,2004-04-22,2,"Science, Art and Knowledge: Practicing Natural History from the Enlightenment to the 21st Century",Roaring Alligators and Burning Tygers: Poetry and Science from William Bartram to Charles Darwin,,,,,"Nichols, Ashton, 1953-",Ashton Nichols,John J. Curley '60 and Ann Conser Curley '63 Faculty Professor of Languages and Literature,Dickinson College,,,,,,,,,,Dr. Nichols explains how developments in science and natural history had a great effect on the literature and art of the 18th and 19th centuries.,,LECTURE,History of Science,History of Science|Art History|Literature,Natural history--United States--History--18th century|Natural history--United States--History--19th century|Literature and science,,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=196263,https://diglib.amphilsoc.org/islandora/object/video230obj,video:230,318834,https://diglib.amphilsoc.org/islandora/object/video:230,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318834-Service%20File.mp4,,Roaring Alligators and Burning Tygers: Poetry and Science from William Bartram to Charles Darwin,https://www.jstor.org/stable/4598937,,,,,
18,April 2004,2004-04-22,3,"Science, Art and Knowledge: Practicing Natural History from the Enlightenment to the 21st Century",Agnotology and Exotic Abortifacients: The Cultural Production of Ignorance in Eighteenth-Century Science,,,,,"Schiebinger, Londa L.",Londa Schiebinger,"Edwin E. Sparks Professor of History of Science and Co-Director of Science, Medicine and Technology in Culture",Pennsylvania State University,,,,,,,,,,Dr. Schiebinger tells the history of a great plant: the Peacock Flower. She describes how this plant was known by Native and enslaved women to cause abortion and how this knowledge was disseminated.,,LECTURE,History of Science,History of Science|Early America,"Scientific expeditions|Explorers, Women|Women in science|Botany--History--18th century|Abortion--History",,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=175856,https://diglib.amphilsoc.org/islandora/object/video240obj,video:240,318815,https://diglib.amphilsoc.org/islandora/object/video:240,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318815-Service%20File.mp4,,Agnotology and Exotic Abortifacients: The Cultural Production of Ignorance in the Eighteenth-Century Atlantic World,https://www.jstor.org/stable/4598938,,,,,
